,Weekday,Hour,Region,Avg_Traffic
350,3,22,0,218.4615385
351,3,22,1,35.23076923
352,3,22,2,575.3846154
353,3,22,3,708
354,3,22,4,686.7692308
355,3,23,0,100.6153846
356,3,23,1,18
357,3,23,2,320.4615385
358,3,23,3,431.6923077
359,3,23,4,452
360,4,0,0,44.15384615
361,4,0,1,7.166666667
362,4,0,2,173.2307692
363,4,0,3,229.0769231
364,4,0,4,297.5384615
365,4,1,0,25.69230769
366,4,1,1,6.833333333
367,4,1,2,95.23076923
368,4,1,3,114.9230769
369,4,1,4,213.8461538
370,4,2,0,11.84615385
371,4,2,1,3.333333333
372,4,2,2,58.46153846
373,4,2,3,54.46153846
374,4,2,4,126.3076923
375,4,3,0,4.5
376,4,3,1,2
377,4,3,2,20.30769231
378,4,3,3,21.23076923
379,4,3,4,34.61538462
380,4,4,0,7
381,4,4,1,2
382,4,4,2,18.92307692
383,4,4,3,24.76923077
384,4,4,4,47.07692308
385,4,5,0,11.23076923
386,4,5,1,3
387,4,5,2,40.46153846
388,4,5,3,37.23076923
389,4,5,4,92.76923077
390,4,6,0,34.30769231
391,4,6,1,5.5
392,4,6,2,157.0769231
393,4,6,3,111.3846154
394,4,6,4,247.0769231
395,4,7,0,107.0769231
396,4,7,1,17.38461538
397,4,7,2,515.5384615
398,4,7,3,374.1538462
399,4,7,4,710.7692308
400,4,8,0,204.7692308
401,4,8,1,34.61538462
402,4,8,2,938
403,4,8,3,792
404,4,8,4,1180.615385
405,4,9,0,247.6923077
406,4,9,1,48.76923077
407,4,9,2,1110
408,4,9,3,1037.538462
409,4,9,4,1204.461538
410,4,10,0,258
411,4,10,1,52
412,4,10,2,1094.923077
413,4,10,3,1095.692308
414,4,10,4,936.7692308
415,4,11,0,334.9230769
416,4,11,1,80.15384615
417,4,11,2,1313.846154
418,4,11,3,1424.461538
419,4,11,4,897.8461538
420,4,12,0,376.1538462
421,4,12,1,97.53846154
422,4,12,2,1394.769231
423,4,12,3,1450.307692
424,4,12,4,902.4615385
425,4,13,0,347.2307692
426,4,13,1,91.07692308
427,4,13,2,1404.307692
428,4,13,3,1619.384615
429,4,13,4,880.1538462
430,4,14,0,353.2307692
431,4,14,1,100.9230769
432,4,14,2,1288.461538
433,4,14,3,1471.692308
434,4,14,4,823.3846154
435,4,15,0,375.6923077
436,4,15,1,101.2307692
437,4,15,2,1163.846154
438,4,15,3,1461.692308
439,4,15,4,765.0769231
440,4,16,0,345.8461538
441,4,16,1,97.84615385
442,4,16,2,1092
443,4,16,3,1351.692308
444,4,16,4,749.6923077
445,4,17,0,370
446,4,17,1,96
447,4,17,2,1341.230769
448,4,17,3,1268.461538
449,4,17,4,918
450,4,18,0,418.7692308
451,4,18,1,85.84615385
452,4,18,2,1513.846154
453,4,18,3,1213.076923
454,4,18,4,1180.615385
455,4,19,0,363.0769231
456,4,19,1,63.07692308
457,4,19,2,1272.461538
458,4,19,3,977.2307692
459,4,19,4,1087.076923
460,4,20,0,334.1538462
461,4,20,1,62.30769231
462,4,20,2,1022.923077
463,4,20,3,916.3076923
464,4,20,4,994.1538462
465,4,21,0,372
466,4,21,1,53.07692308
467,4,21,2,851.3846154
468,4,21,3,970.6153846
469,4,21,4,986.6153846
470,4,22,0,265.8461538
471,4,22,1,44
472,4,22,2,665.2307692
473,4,22,3,788.6153846
474,4,22,4,926
475,4,23,0,144.1538462
476,4,23,1,23.69230769
477,4,23,2,404.1538462
478,4,23,3,525.5384615
479,4,23,4,713.5384615
480,5,0,0,124
481,5,0,1,18.15384615
482,5,0,2,287.5384615
483,5,0,3,311.0769231
484,5,0,4,669.3846154
485,5,1,0,87.84615385
486,5,1,1,23.55555556
487,5,1,2,226.7692308
488,5,1,3,208.6153846
489,5,1,4,627.6923077
490,5,2,0,45.69230769
491,5,2,1,12.72727273
492,5,2,2,154.9230769
493,5,2,3,107.5384615
494,5,2,4,407.5384615
495,5,3,0,19.83333333
496,5,3,1,7.5
497,5,3,2,60
498,5,3,3,49.23076923
499,5,3,4,166.9230769
500,5,4,0,11.38461538
501,5,4,1,3
502,5,4,2,38.76923077
503,5,4,3,31.69230769
504,5,4,4,90
505,5,5,0,12.30769231
506,5,5,1,3.714285714
507,5,5,2,50.30769231
508,5,5,3,40.61538462
509,5,5,4,94.92307692
510,5,6,0,24.61538462
511,5,6,1,4.2
512,5,6,2,114.6153846
513,5,6,3,88.92307692
514,5,6,4,200.1538462
515,5,7,0,68.15384615
516,5,7,1,12.15384615
517,5,7,2,333.3846154
518,5,7,3,236.3076923
519,5,7,4,562
520,5,8,0,146.7692308
521,5,8,1,21.69230769
522,5,8,2,629.2307692
523,5,8,3,513.2307692
524,5,8,4,1014.153846
525,5,9,0,206
526,5,9,1,38.92307692
527,5,9,2,803.2307692
528,5,9,3,663.0769231
529,5,9,4,1066.769231
530,5,10,0,223.3846154
531,5,10,1,46.61538462
532,5,10,2,846
533,5,10,3,836.4615385
534,5,10,4,835.8461538
535,5,11,0,276.3076923
536,5,11,1,62.61538462
537,5,11,2,1022
538,5,11,3,1029.076923
539,5,11,4,813.0769231
540,5,12,0,304.9230769
541,5,12,1,65.23076923
542,5,12,2,1074.307692
543,5,12,3,983.6923077
544,5,12,4,782.9230769
545,5,13,0,290.3076923
546,5,13,1,73.07692308
547,5,13,2,1041.692308
548,5,13,3,1082.153846
549,5,13,4,752.4615385
550,5,14,0,306.7692308
